trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.5, 'e': 0.936400000000007}",25,0,-103.5247770088489,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.936000000000007}",25,0,-189.68684462583107,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.9356000000000071}",20,0,-34.77547956435043,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.9352000000000071}",20,0,-143.7964279667045,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.9348000000000072}",20,0,-108.02984278536287,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9344000000000072}",20,0,-1.4059613299432474,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.9340000000000073}",25,0,-178.5460676910242,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.9336000000000073}",20,0,-170.16706472258403,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.9332000000000074}",20,15,-0.00032255420031845894,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.9328000000000074}",25,0,-60.90271042911292,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.9324000000000074}",25,0,-83.79487008551123,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.9320000000000075}",25,0,-145.2854988629968,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.9316000000000075}",20,0,-82.66668503663638,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9312000000000076}",25,0,-55.23503870499417,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9308000000000076}",20,0,-82.93228467659551,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.9304000000000077}",20,0,-147.04063604799623,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.9300000000000077}",25,0,-121.1227024304377,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.9296000000000078}",20,0,-88.51508634471556,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.9292000000000078}",35,0,-144.8553844111562,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9288000000000078}",20,0,-113.57806670457713,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.9284000000000079}",25,0,-21.894739044231454,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.9280000000000079}",25,0,-30.542462934577692,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.927600000000008}",20,0,-109.35263885963298,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.927200000000008}",20,0,-88.08447948395082,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
